カテゴリ,入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
メカ,2024-09-03,2024-09-09,,EX000904,保護パッド,（株）五輪パッキング,120,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,
メカ,2024-09-03,2024-09-09,,EX000918,隙間テープ,（株）五輪パッキング,350,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,
メカ,2024-09-03,2024-09-09,,EX002544-01,FPV 防滴シート,（株）五輪パッキング,70,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,
メカ,2024-09-03,2024-09-09,,EX002565-01,コネクタスポンジ,（株）五輪パッキング,130,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,
メカ,2024-09-03,2024-09-09,,EX002789-01,Cushion,（株）五輪パッキング,110,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,
メカ,2024-09-19,2024-09-24,,EX000794,Battery mount LH,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,
メカ,2024-09-19,2024-09-24,,EX000795,Battery mount RH,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,
メカ,2024-09-19,2024-09-24,,EX000749,スライドポスト,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,
メカ,2024-09-19,2024-09-24,,EX000768,LED cover,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,
メカ,2024-09-19,2024-09-24,,EX000779,Ball valve mount,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,
メカ,2024-09-19,2024-09-24,,EX000647,タンクキャップ(AC101),金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,西村,全数,30,,本社１階,無し,良　ピン跡に黒ずみ（不問）,
メカ,2024-09-19,2024-09-24,,EX000747,Slide Rail,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,
メカ,2024-09-19,2024-09-24,,EX000837,タンクキャップ(穴追加工),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,30,,本社１階,無し,良　ピン跡に黒ずみ（不問）,
メカ,2024-09-20,2024-09-25,,EX000649,キャップ用パッキン,（株）テクノアソシエ,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,
メカ,2024-09-20,2024-09-25,,EX000769,LED cover seal,（株）テクノアソシエ,100,,外観,検査基準書 適用型式AC102,西村,全数,10,,本社１階,無し,良,
メカ,2024-09-20,2024-09-25,,EX000812,コンディションLED両面テープ,（株）テクノアソシエ,180,,外観,検査基準書 適用型式AC102,西村,全数,5,,本社１階,無し,良,
メカ,2024-09-25,2024-10-03,,EX000825,Nozzle mount,金森産業（株）,250,,外観,検査基準書 適用型式AC102,西村,全数,25,,本社１階,無し,良,
メカ,2024-09-25,2024-10-03,,EX002846-01,ジョイントホルダ,金森産業（株）,300,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良　バリとパッキン面が同じ所にある,
メカ,2024-09-25,2024-10-04,,EX002040-02,吐出口キャップ,金森産業（株）,300,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,
メカ,2024-09-25,2024-10-03,,EX000933-02,シャッターギア s2s-40A-2,金森産業（株）,200,,外観,検査基準書 適用型式AC101P13,西村,全数,30,,本社１階,無し,良　押し出しに黒済み　(不問),
メカ,2024-09-25,2024-10-04,,EX000930,ハウジング unit housing 3-3(2),金森産業（株）,200,,外観,検査基準書 適用型式AC101P13,西村,全数,70,,本社１階,無し,良　インサート周辺にマステの断片あり(除去),
メカ,2024-09-25,2024-10-04,,EX000934-02,吐出口　discharge port 1-3(1),金森産業（株）,110,1,外観,検査基準書 適用型式AC101P13,西村,全数,45,,本社１階,無し,１不良　インサート逆入れあり、代品入庫済,
メカ,2024-09-25,2024-10-04,,EX000939,インペラ 1(1),金森産業（株）,150,,外観,検査基準書 適用型式AC101P13,西村,全数,25,,本社１階,無し,良,
メカ,2024-09-25,2024-10-03,,EX000940,可動板 induction plate 7-2,金森産業（株）,320,,外観,検査基準書 適用型式AC101P13,西村,全数,35,,本社１階,M4ネジ,良　インサートに被りあり(除去),
メカ,2024-09-25,2024-10-03,,EX000931,駆動ギアホーン s2s 40A-1-2,金森産業（株）,200,,外観,検査基準書 適用型式AC101P13,西村,全数,20,,本社１階,無し,良　切りくずあり(除去),
メカ,2024-10-04,2024-10-04,,EX000937-03,撹拌棒/mixing arm,金森産業（株）,390,,外観,検査基準書 適用型式AC101P13,西村,全数,15,,本社１階,無し,良,
メカ,2024-10-07,2024-10-10,,EX000750,Slide mount,（株）栗原精機,400,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,25,,本社１階,ノギス,良アルマイト品、内周なので計測注意,
メカ,2024-10-07,2024-10-09,,EX000777,boom mount,（株）栗原精機,200,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,20,,本社１階,M3ネジ,良ネジ穴キツめの所あり深さ8ミリ以上,
