品名,カテゴリ,検査回数,工数記録あり,合計工数(分),合計工数(時間),平均工数(分/回),数値でない値
PCM Assy,エレキ,1,1,1440.0,24.0,1440.0,
FA28.2*9.2　L,メカ,10,10,1200.0,20.0,120.0,
FA28.2*9.2　R,メカ,10,10,1200.0,20.0,120.0,
U8 Lite Armset CCW（ver2023),エレキ,11,8,1040.0,17.33,130.0,
U8 Lite Armset CW（ver2023),エレキ,10,8,1040.0,17.33,130.0,
チャージャ,エレキ,1,1,1000.0,16.67,1000.0,
Skid(Assy),Api,9,7,850.0,14.17,121.4,↑
バッテリ　LOG抜き取り,エレキ,2,2,810.0,13.5,405.0,
Arm pipe Assy,Api/メカ,9,8,765.0,12.75,95.6,
Slide Mount,Api,5,5,760.0,12.67,152.0,
Liquid　Tank　9L,メカ,4,4,720.0,12.0,180.0,
バッテリー,時間かかる,5,4,660.0,11.0,165.0,
Arm fixed holder,メカ,5,3,580.0,9.67,193.3,
粒剤制御板Assy,エレキ,7,7,540.0,9.0,77.1,
スライドポスト,メカ,5,5,480.0,8.0,96.0,
Leg(Assy),Api,9,5,442.0,7.37,88.4,"↑, ↓, ↑"
粒剤タンク 13.5L,メカ,3,3,440.0,7.33,146.7,
Slide Rail,メカ,7,6,405.0,6.75,67.5,
FPV Holder(AC102),メカ,1,1,400.0,6.67,400.0,
Lower Plate（AC102）,Api,8,8,390.0,6.5,48.8,
ギアBOX planetary box 3-3,エレキ,7,7,355.0,5.92,50.7,
Battery connector holder,Api,5,5,345.0,5.75,69.0,
U-shaped grommet W,Api,5,5,345.0,5.75,69.0,
AC102カウル 前後シール付き 補強あり,メカ,2,2,310.0,5.17,155.0,
Boom Assy,メカ,3,3,300.0,5.0,100.0,
Center beam,Api,6,6,280.0,4.67,46.7,
Leg Assy,メカ,3,3,270.0,4.5,90.0,
Boom mount,Api,4,4,265.0,4.42,66.2,
吐出口キャップ,メカ,3,3,250.0,4.17,83.3,
Arm holder nut,メカ,2,1,240.0,4.0,240.0,
Upper Plate,Api,4,4,240.0,4.0,60.0,
カバー_cover_4(2),メカ,5,5,240.0,4.0,48.0,
Nozzle mount,Api/メカ,6,6,235.0,3.92,39.2,
LED cover,メカ,5,5,225.0,3.75,45.0,
Slido post,メカ,1,1,220.0,3.67,220.0,
Upper Plate(Ver2023),メカ,4,4,210.0,3.5,52.5,
unit housing_1_5,メカ,3,3,200.0,3.33,66.7,
コネクタロックA,メカ,3,2,200.0,3.33,100.0,
ストリームジェット延長アダプター,買い物,1,1,200.0,3.33,200.0,
高低圧兼用フラットスプレーチップXR80035VS,買い物,1,1,200.0,3.33,200.0,
誘導板,メカ,3,3,195.0,3.25,65.0,
AC102カウル前後ロゴシール付き,メカ,1,1,190.0,3.17,190.0,
Battery lock handle Assy,Api,6,5,190.0,3.17,38.0,↑
コネクタロックB,メカ,3,2,190.0,3.17,95.0,
Arm　grommet,Api,4,4,185.0,3.08,46.2,
FC Lower Case,メカ,4,4,185.0,3.08,46.2,
FC Upper Case,メカ,4,4,185.0,3.08,46.2,
AC102 カウル前後シール付き,メカ,1,1,180.0,3.0,180.0,
