年月,件数,総工数(分),総工数(時間),工数記録あり,部品種類数,作業者数,最多担当者,パレート指標(%),工数トップ1,工数トップ2,工数トップ3,メカ件数,エレキ件数,Api件数
2024-09,25,515.0,8.58,25,25,1,西村,40.78,ハウジング unit housing 3-3(2),吐出口　discharge port 1-3(1),可動板 induction plate 7-2,25,0,0
2024-10,33,1290.0,21.5,33,32,3,西村,41.47,Arm fixed holder,Slide Rail,LED cover,26,7,0
2024-11,49,2320.0,38.67,41,44,9,西村,53.88,Arm holder nut,Liquid　Tank　9L,AC102カウル 前後シール付き 補強あり,13,13,22
2024-12,22,3175.0,52.92,19,22,5,西村,68.03,PCM Assy,U8 Lite Armset CW（ver2023),U8 Lite Armset CCW（ver2023),4,11,6
2025-01,32,1905.0,31.75,28,23,5,西村,48.29,Leg(Assy),FA28.2*9.2　R　,FA28.2*9.2　L,5,17,7
2025-02,29,485.0,8.08,19,26,2,西村,56.7,フライトコントローラー(NTT e-DT製),スライドポスト,MC Assy,18,4,0
2025-03,17,590.0,9.83,14,15,4,西村,71.19,Liquid　Tank　9L,Skid(Assy),カバー_cover_4(2),5,1,4
2025-04,34,990.0,16.5,20,33,5,西村,54.55,粒剤タンク 13.5L,Liquid　Tank　9L,FA28.2*9.2　R　,14,6,12
2025-05,16,717.0,11.95,14,15,3,西村,59.69,粒剤制御板Assy,液剤ポンプAssy（ver2025）,FC Upper Case,4,7,5
2025-06,11,615.0,10.25,8,11,3,不明,48.78,粒剤タンク 13.5L,FA28.2*9.2　R　,FA28.2*9.2　L,3,2,6
2025-07,23,940.0,15.67,13,23,5,西村,55.32,FA28.2*9.2　R　,FA28.2*9.2　L,U8 Lite Armset CW（ver2023),3,6,9
2025-08,40,1190.0,19.83,29,35,6,西村,38.66,スライドポスト,誘導板 induction plate 6(1),FC Carrier Upper Case,28,5,1
2025-09,57,1780.0,29.67,41,49,5,西村,40.17,U8 Lite Armset CW（ver2023),U8 Lite Armset CCW（ver2023),FA28.2*9.2　R　,17,23,16
2025-10,17,1130.0,18.83,15,17,8,西村,44.25,吐出口キャップ,シャッターギアs2s-40A-2,FA28.2*9.2　R　,6,5,6
2025-11,26,940.0,15.67,22,25,6,西村,53.72,AC102カウル前後ロゴシール付き,誘導板,Skid Assy,20,1,5
2025-12,29,2005.0,33.42,27,23,4,杉山,54.36,FPV Holder(AC102),Slide Mount,サーボ AC20-05H-A01,15,3,9
2026-01,49,3925.0,65.42,49,43,1,杉山,40.51,Boom Assy,Slido post,Leg Assy,30,10,9
2026-02,20,2270.0,37.83,20,19,2,杉山,53.74,Slide Mount,Arm fixed holder,スライドポスト,6,2,12
2026-03,2,405.0,6.75,2,2,1,杉山,70.37,Skid(Assy),Arm pipe Assy,,0,0,2
2026-11,5,181.0,3.02,5,5,1,杉山,33.15,Arm　grommet,float cencer,U-shaped grommet W,0,0,5
2026-12,3,160.0,2.67,3,3,1,杉山,43.75,50 mesh,Battery connector holder,Servo horn,0,0,3
不明,35,4300.0,71.67,27,27,11,杉山,64.19,チャージャ,バッテリ　LOG抜き取り,バッテリー,9,14,1
