正規化後,元の表記,出現回数,推奨（正規化先）
arm grommet,Arm　grommet,4,Arm grommet
arm grommet,Arm grommet,1,
battery lock handle assy,Battery lock handle Assy,6,Battery lock handle Assy
battery lock handle assy,Battery lock  handle Assy,1,
boom mount,Boom mount,4,Boom mount
boom mount,boom mount,1,
center beam,Center beam,6,Center beam
center beam,center beam,1,
condition led base,Condition LED Base,2,Condition LED base
condition led base,Condition LED base,1,
harness(fc-mc),Harness（FC-MC）,1,Harness（FC-MC）
harness(fc-mc),Harness(FC-MC),1,
harness(pcm-fc),Harness(PCM-FC),2,Harness（PCM-FC）
harness(pcm-fc),Harness（PCM-FC）,1,
harness(pcm-mc),Harness（PCM-MC）,1,Harness（PCM-MC）
harness(pcm-mc),Harness(PCM-MC),1,
harness(pcm-pdb),Harness(PCM-PDB),2,Harness(PCM-PDB)
harness(pcm-pdb),Harness（PCM-PDB）,1,
harness(pcm-sig hub),Harness（PCM-SIG HUB）,1,Harness（PCM-SIG HUB）
harness(pcm-sig hub),Harness(PCM-SIG HUB),1,
liquid tank 9l,Liquid　Tank　9L,4,Liquid　Tank　9L
liquid tank 9l,Liquid Tank 9L,1,
lower plate(ac102),Lower Plate（AC102）,8,Lower Plate（AC102）
lower plate(ac102),Lower Plate(AC102),1,
mecha tray,Mecha tray,3,Mecha tray
mecha tray,Mecha Tray,1,
slide mount,Slide Mount,5,Slide Mount
slide mount,Slide mount,1,
upper plate,Upper Plate,4,Upper Plate
upper plate,Upper plate,2,
サーボ ac20-05h-a01,サーボ AC20-05H-A01,3,サーボ AC20-05H-A01
サーボ ac20-05h-a01,サーボ　AC20-05H-A01,2,
サーボホルダ(ac20),サーボホルダ(AC20),2,サーボホルダ(AC20)
サーボホルダ(ac20),サーボホルダ（AC20）,1,
タンクキャップ(穴追加工),タンクキャップ(穴追加工),5,タンクキャップ(穴追加工)
タンクキャップ(穴追加工),タンクキャップ（穴追加工）,1,
