,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考
45702,45707,,EX002668-01,技適シール(LTE非搭載モデル),大玄,500,,外観,無し,西村,全数,15,1,本社1階,無し,５７２枚入荷６枚キズ有り５００入庫残は簿外として扱う
45709,45709,,EX000802-11,Heat dissipation sheet,五輪パッキング,350,,外観,無し,西村,全数,5,1,本社1階,無し,2シートをカットしてある、台紙の浮きや剥がれ無し。
45719,45720,,EX000649,キャップ用パッキン,（株）テクノアソシエ,150,,外観,検査基準書 適用型式AC102,西村,全数,15,1,本社1階,無し,
45719,45720,,EX000769,LED cover seal,（株）テクノアソシエ,500,,外観,検査基準書 適用型式AC102,西村,全数,5,1,本社1階,無し,
45719,45720,,EX001345-01,両面テープ 10×15× t0.8 カット済品,（株）テクノアソシエ,3500,,外観,無し,西村,全数,5,1,本社1階,無し,
45719,45720,,EX001346-01,両面テープ 20×30×t2 カット済品,（株）テクノアソシエ,1750,,外観,無し,西村,全数,5,1,本社1階,無し,
45723,45723,,EX000812-01,コンディションLED両面テープ,（株）テクノアソシエ,200,,外観,検査基準書 適用型式AC102,西村,全数,5,1,本社1階,無し,加工品シールなので、検査項目の見直し必要
45751,45751,,EX002789-01,Cushion,（株）五輪パッキング,1000,,,検査基準書 適用型式AC102,,,,1,本社1階,無し,
45849,45849,,EX002772-01,TC-150PEN5-20 カットサイズ20mm×20mm×1.5t (低比重低硬度放熱シリコーンパッド),五輪パッキング,266,,外観,検査基準書 適用型式AC102,西村,全数,10,1,本社1階,無し,加工品、台紙剥がれやすいため、捨て紙を
45862,45875,,EX000973-02,吐出口キャップ用パッキン,五輪パッキング,200,,外観,検査基準書 適用型式AC102,西村,全数,10,1,本社1階,無し,主にバリ
45875,45875,,EX000802-11,Heat dissipation sheet,五輪パッキング,875,,外観,検査基準書 適用型式AC102,西村,全数,,1,本社1階,無し,
45875,45875,,EX000904,保護パッド,五輪パッキング,200,,外観,検査基準書 適用型式AC102,西村,全数,,1,本社1階,無し,
45875,45875,,EX000918,隙間テープ,五輪パッキング,600,,外観,検査基準書 適用型式AC102,西村,全数,,1,本社1階,無し,
45875,45875,,EX002565-01,コネクタスポンジ,五輪パッキング,200,,外観,検査基準書 適用型式AC102,西村,全数,,1,本社1階,無し,
45875,45875,,EX002565-01,Cushion,五輪パッキング,200,,外観,検査基準書 適用型式AC102,西村,全数,,1,本社1階,無し,
,,,EX000812-01,コンディションLED両面テープ,（株）テクノアソシエ,200,,外観,検査基準書 適用型式AC102,西村,全数,,1,本社1階,無し,検査基準の内容について、テープ向きの内容にしてほしい
,,,EX000769,LED cover seal,（株）テクノアソシエ,800,,外観,検査基準書 適用型式AC102,西村,全数,,1,本社1階,無し,検査基準の内容について、テープ向きの内容にしてほしい
,,,EX000649,キャップ用パッキン,（株）テクノアソシエ,200,,外観,検査基準書 適用型式AC102,西村,全数,,1,本社1階,無し,検査基準の内容について、テープ向きの内容にしてほしい
2025-12-09,2025-12-09,N25-01948,EX000769,LED cover seal,（株）テクノアソシエ,1320,,外観,検査基準書 適用型式AC102,西村,全数,15,1,本社地階,無し,基準書有り、過去の不具合から員数のみで良いかと
2025-12-09,2025-12-09,N25-01948,EX000649,キャップ用パッキン,（株）テクノアソシエ,300,,外観,検査基準書 適用型式AC102,西村,全数,10,1,本社地階,無し,基準書有り、過去の不具合から員数のみで良いかと
