AC102受け入れ検査実施リスト（メカ類）,,,,,,,,,,,,,,,,,,
※SCMより渡される検査票と下記品質基準書を用意し作業をする。,,,,,,,,,,,,,,,,,,
2024品質基準書（AC102）A25-3000-0,,,,2024品質基準書(P13)P13-3000-0,,,,,,,,,,,,,,
受け入れ検査数量は基本は外観全数、別途指示がある場合はその数量とする。,,,,,,,,,,,,,,,,,,
入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所,
45538,45544,,EX000904,保護パッド,（株）五輪パッキング,120,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45538,45544,,EX000918,隙間テープ,（株）五輪パッキング,350,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45538,45544,,EX002544-01,FPV 防滴シート,（株）五輪パッキング,70,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45538,45544,,EX002565-01,コネクタスポンジ,（株）五輪パッキング,130,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45538,45544,,EX002789-01,Cushion,（株）五輪パッキング,110,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45554,45559,,EX000794,Battery mount LH,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45554,45559,,EX000795,Battery mount RH,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45554,45559,,EX000749,スライドポスト,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45554,45559,,EX000768,LED cover,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,,
45554,45559,,EX000779,Ball valve mount,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,,
45554,45559,,EX000647,タンクキャップ(AC101),金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,西村,全数,30,,本社１階,無し,良　ピン跡に黒ずみ（不問）,,
45554,45559,,EX000747,Slide Rail,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45554,45559,,EX000837,タンクキャップ(穴追加工),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,30,,本社１階,無し,良　ピン跡に黒ずみ（不問）,,
45555,45560,,EX000649,キャップ用パッキン,（株）テクノアソシエ,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,,
45555,45560,,EX000769,LED cover seal,（株）テクノアソシエ,100,,外観,検査基準書 適用型式AC102,西村,全数,10,,本社１階,無し,良,,
45555,45560,,EX000812,コンディションLED両面テープ,（株）テクノアソシエ,180,,外観,検査基準書 適用型式AC102,西村,全数,5,,本社１階,無し,良,,
45560,45568,,EX000825,Nozzle mount,金森産業（株）,250,,外観,検査基準書 適用型式AC102,西村,全数,25,,本社１階,無し,良,,
45560,45568,,EX002846-01,ジョイントホルダ,金森産業（株）,300,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良　バリとパッキン面が同じ所にある,,
45560,45569,,EX002040-02,吐出口キャップ,金森産業（株）,300,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45560,45568,,EX000933-02,シャッターギア s2s-40A-2,金森産業（株）,200,,外観,検査基準書 適用型式AC101P13,西村,全数,30,,本社１階,無し,良　押し出しに黒済み　(不問),,
