年月,品名,件数,工数(分),工数(時間)
2024-09,ハウジング unit housing 3-3(2),1,70.0,1.17
2024-09,吐出口　discharge port 1-3(1),1,45.0,0.75
2024-09,可動板 induction plate 7-2,1,35.0,0.58
2024-09,タンクキャップ(AC101),1,30.0,0.5
2024-09,タンクキャップ(穴追加工),1,30.0,0.5
2024-09,シャッターギア s2s-40A-2,1,30.0,0.5
2024-09,Nozzle mount,1,25.0,0.42
2024-09,インペラ 1(1),1,25.0,0.42
2024-09,Battery mount LH,1,20.0,0.33
2024-09,Battery mount RH,1,20.0,0.33
2024-09,スライドポスト,1,20.0,0.33
2024-09,Slide Rail,1,20.0,0.33
2024-09,ジョイントホルダ,1,20.0,0.33
2024-09,吐出口キャップ,1,20.0,0.33
2024-09,駆動ギアホーン s2s 40A-1-2,1,20.0,0.33
2024-09,LED cover,1,15.0,0.25
2024-09,Ball valve mount,1,15.0,0.25
2024-09,キャップ用パッキン,1,15.0,0.25
2024-09,LED cover seal,1,10.0,0.17
2024-09,保護パッド,1,5.0,0.08
2024-09,隙間テープ,1,5.0,0.08
2024-09,FPV 防滴シート,1,5.0,0.08
2024-09,コネクタスポンジ,1,5.0,0.08
2024-09,Cushion,1,5.0,0.08
2024-09,コンディションLED両面テープ,1,5.0,0.08
2024-10,Arm fixed holder,1,180.0,3.0
2024-10,Liquid　Tank　9L,1,180.0,3.0
2024-10,粒剤タンク 13.5L,1,80.0,1.33
2024-10,Slide Rail,1,60.0,1.0
2024-10,LED cover,1,60.0,1.0
2024-10,Ball valve mount　,1,60.0,1.0
2024-10,unit housing_1_5,1,60.0,1.0
2024-10,motor cover3,1,60.0,1.0
2024-10,撹拌棒/mixing arm,2,55.0,0.92
2024-10,スライドポスト,1,50.0,0.83
2024-10,フランジカラー φ8.5 φ3.1　,1,45.0,0.75
2024-10,GPS mount (AC102),1,45.0,0.75
2024-10,FC Upper Case,1,45.0,0.75
2024-10,FC Lower Case,1,45.0,0.75
2024-10,FC Carrier Upper Case,1,45.0,0.75
2024-10,FC Carrier Lower Case,1,45.0,0.75
2024-10,タンクキャップ(AC101)　,1,40.0,0.67
2024-10,Harness（FC-MC）,1,30.0,0.5
2024-10,Harness（PCM-MC）,1,30.0,0.5
2024-10,Harness(FC-SIG HUB),1,30.0,0.5
2024-10,Harness（Battery）,1,25.0,0.42
2024-10,Harness（PCM-FC）,1,25.0,0.42
2024-10,Slide mount,1,25.0,0.42
2024-10,center beam,1,25.0,0.42
2024-10,センサマウントA　100pcs(初回分),1,25.0,0.42
2024-10,センサマウントB　100pcs(初回分),1,25.0,0.42
2024-10,カバー_cover_4(2),1,25.0,0.42
2024-10,誘導板 induction plate 6(1),1,25.0,0.42
2024-10,Harness（PCM-SIG HUB）,1,20.0,0.33
2024-10,液剤ポンプ配線加工,1,20.0,0.33
2024-10,boom mount,1,20.0,0.33
2024-10,タンクキャップ(穴追加工)　,1,20.0,0.33
2024-10,TF mini plus holder,1,15.0,0.25
2024-10,FCマウントクッション,1,10.0,0.17
2024-11,Arm holder nut,1,240.0,4.0
2024-11,Liquid　Tank　9L,1,240.0,4.0
2024-11,AC102カウル 前後シール付き 補強あり,1,190.0,3.17
2024-11,Lower Plate（AC102）,2,120.0,2.0
2024-11,サーボホルダ(AC20),1,120.0,2.0
2024-11,FA28.2*9.2　L,1,120.0,2.0
2024-11,FA28.2*9.2　R　,1,120.0,2.0
2024-11,Skid(Assy),2,100.0,1.67
2024-11,Harness(Pump-PCM/PDB/MC),1,100.0,1.67
2024-11,Upper Plate,1,90.0,1.5
2024-11,Battery connector holder,1,70.0,1.17
2024-11,Mecha tray,1,60.0,1.0
2024-11,FPV Unit cover (AC102),1,60.0,1.0
2024-11,Battery lock handle Assy,2,55.0,0.92
2024-11,液剤ポンプAssy（ver2023）,1,50.0,0.83
2024-11,コネクタロックA,1,50.0,0.83
2024-11,Condition LED base,1,45.0,0.75
2024-11,コネクタロックB,1,40.0,0.67
2024-11,FPV Holder (AC102),1,40.0,0.67
2024-11,USB-CN基板 Assy,1,30.0,0.5
2024-11,Boom(Assy),2,30.0,0.5
2024-11,Leg(Assy),2,30.0,0.5
2024-11,Harness(PCM-PDB),1,30.0,0.5
2024-11,吐出工キャップ用パッキン,1,30.0,0.5
2024-11,粒剤制御板Assy,1,25.0,0.42
2024-11,フロートセンサーAssy,1,25.0,0.42
2024-11,Harness(FC-外部LED),1,20.0,0.33
2024-11,Harness(Relay Remote ID),1,20.0,0.33
2024-11,Harness(FC-GPSヘリカル/PCM),1,20.0,0.33
2024-11,Harness(FC-外部USB),1,20.0,0.33
2024-11,U-shaped grommet S,1,20.0,0.33
2024-11,U-shaped grommet W,1,20.0,0.33
2024-11,TF mini Plus レンジファインダー(加工後),1,20.0,0.33
2024-11,ブザー　ASH003(加工後),1,15.0,0.25
2024-11,Harness(衝突防止中継/FC/PCM),1,15.0,0.25
2024-11,ギアBOX planetary box 3-3,1,15.0,0.25
2024-11,バッテリコネクタキャップ,1,15.0,0.25
2024-11,Arm grommet,1,10.0,0.17
2024-11,SIG Hub基板Assy（SIG HUBジッソウヒン）,1,0.0,0.0
2024-11,3灯式LED基板 赤色,1,0.0,0.0
2024-11,3灯式LED基板 緑色,1,0.0,0.0
2024-11,50 mesh,1,0.0,0.0
2024-11,Quick connector(MPL8-02),1,0.0,0.0
2024-11,Stepped bolt M3ｘ2ｘ8,1,0.0,0.0
2024-12,PCM Assy,1,1440.0,24.0
2024-12,U8 Lite Armset CW（ver2023),1,240.0,4.0
2024-12,U8 Lite Armset CCW（ver2023),1,240.0,4.0
2024-12,Skid(Assy),1,240.0,4.0
2024-12,Arm pipe Assy,1,180.0,3.0
2024-12,Lower Plate（AC102）,1,150.0,2.5
2024-12,ギアBOX planetary box 3-3,1,120.0,2.0
2024-12,FA28.2*9.2　R　,1,120.0,2.0
2024-12,FA28.2*9.2　L,1,120.0,2.0
2024-12,Upper Plate,1,90.0,1.5
2024-12,粒剤制御板Assy,1,50.0,0.83
2024-12,SIG Hub基板Assy（SIG HUBジッソウヒン）,1,40.0,0.67
2024-12,シャッターサーボ（コネクタ加工後）,1,25.0,0.42
2024-12,フライトコントローラー(NTT e-DT製),1,25.0,0.42
2024-12,MC Assy,1,25.0,0.42
2024-12,AC102 取扱説明書,1,20.0,0.33
2024-12,隙間テープ,1,20.0,0.33
2024-12,２４GHzObstacle AvoidanceRadars（CANver),1,15.0,0.25
2024-12,USB-CN基板Assy,1,15.0,0.25
2024-12,Leg(Assy),1,0.0,0.0
2024-12,Boom(Assy),1,0.0,0.0
2024-12,H12　Custom,1,0.0,0.0
2025-01,Leg(Assy),1,300.0,5.0
2025-01,FA28.2*9.2　R　,2,220.0,3.67
2025-01,FA28.2*9.2　L,2,220.0,3.67
2025-01,U8 Lite Armset CW（ver2023),2,180.0,3.0
2025-01,U8 Lite Armset CCW（ver2023),2,180.0,3.0
2025-01,AC102 カウル前後シール付き,1,180.0,3.0
2025-01,サーボ　AC20-05H-A01,1,120.0,2.0
